"dataid","success","I_c","phi_0","f","T","r","C","r_squared","adj_r_squared","rmse","mae","residual_mean","residual_std","error","skipped"
187Ic,true,0.000030988558199532734,1.5621878565498886,80.57242499451776,2.2334443617661198e-27,-0.0009641528235485173,0.00003305141354106328,0.5408859699520023,0.4598658470023558,0.00002067023770351543,0.000015795696084569356,-7.986987158369074e-8,20.670237703515433,,
189Ic,true,0.000049796176686608977,-0.17065202571560967,56.33873744539829,2.917819869026838e-10,0.0028972095752096637,0.000002000000060926113,0.5663410155234312,0.4898129594393308,0.000022712970419707555,0.000018011371525893743,-0.045671572275898895,22.712924501129223,,
188Ic,true,0.0000037516734016061977,0.587139169722652,159221.47214344397,8.922838713543732e-13,0.0040058682809029945,0.00010079294353472854,0.9160488329444064,0.9112054963835068,7.96889943761019e-7,6.355659987215906e-7,7.012114312622366e-11,0.31875597750440826,,
190Ic,true,0.0000054393924997845625,-2.554486291188165,160709.38361460686,4.111951541743073e-22,-0.11268086318243624,0.000056836075213671685,0.943993060830849,0.940761891263398,0.0000010166851642447719,8.380820474272138e-7,8.988126359304465e-11,1.016685164244772,,
191Ic,true,3.0790956286541616e-7,-1.5962091017801041,222071.19586562534,0.8771788722012632,0.054818896015897914,0.00010216793830969336,0.11188371948291398,0.06064624176077438,0.000002656432877500331,0.000002298632455519796,-2.4723958536932776e-7,1.3282164387501465,,
193Ic,true,9.130484071748922e-7,-0.9978661980438789,168716.45547054318,0.892281498284958,-0.05356873388884162,0.000018403126561227484,0.5646754127617979,0.5395605327288248,0.0000011323094610857513,9.809068902004857e-7,1.8724153158886466e-10,0.6597913209782338,,
192Ic,true,0.00004451129555380279,-0.5505943431421311,52.04151868449105,5.4572696839568473e-11,0.002663400356251016,0.0000015000000023601208,0.5528443956583726,0.47393458312749714,0.00002067453991754496,0.00001679721564503634,-0.0058691715141789185,3.18069303381544,,
195Ic,true,0.0000026198974967778112,-2.020195428404601,161324.59918095832,2.725115415967365e-30,-0.07531237696990507,0.00003942261092222092,0.657629385091175,0.6378772342310504,0.0000015889769729491708,0.0000013558551866396203,9.630429586926304e-11,0.7944884864745875,,
196Ic,true,0.00000383395586457602,-2.005968183703288,159190.00029752962,8.919736856378133e-17,0.016763072213431315,0.00009388363341543995,0.913535744446259,0.9085474220104662,8.304479771245358e-7,6.645957943085798e-7,8.86565719736564e-10,0.830447977124535,,
194Ic,true,0.00005938431363960259,0.423729813030626,84.53121238613586,1.0273053436312344e-21,0.004721744479830426,0.000003000000013244566,0.7553539461333837,0.7121811130980985,0.000025863697700405076,0.000020160335620615114,-0.01312203183434781,5.172722896289545,,
198Ic,true,0.000007550550940740092,1.5475790380850682,82.374064158497,2.6910918520803804e-33,-0.0003128702893903819,0.000008405500431757875,0.4071219401900774,0.30249640022362045,0.000006681439081043134,0.000004961395781505407,-1.0369910263818838e-8,3.8179651891675057,,
