dataid,I_c,I_c_error,r_squared,chi_squared,processing_time
372Ic,2.3214853920656744e-06,,0.9469397840254848,,0
369Ic,3.8044608651547093e-06,,0.6456920109224958,,0
373Ic,1.5064715747545078e-06,,0.9593062332275647,,0
376Ic,6.606667086395856e-06,,0.6027451870003644,,0
377Ic,8.657905782899101e-06,,0.6415383292404513,,0
375Ic,3.3459301338998518e-06,,0.5098426499360409,,0
379Ic,5.124349176328689e-06,,0.41481495125434587,,0
378Ic,3.7014936889394667e-06,,0.44263477225304226,,0
381Ic,4.438103380876005e-06,,0.9592152126537221,,0
382Ic,7.321843592069017e-06,,0.5410026654376596,,0
380Ic,2.664563431218981e-06,,0.9464901200049881,,0
383Ic,1.1240236705446453e-05,,0.9748415890398273,,0
384Ic,3.412296985350347e-06,,0.5639693605590236,,0
385Ic,3.770184078561183e-06,,0.9684017792840557,,0
386Ic,4.067557243924931e-06,,0.9655749262985353,,0
388Ic,4.305708602277635e-06,,0.5380026120945037,,0
389Ic,3.808102469829964e-06,,0.51928935187067,,0
387Ic,3.5129654380112726e-06,,0.5179299770303989,,0
390Ic,3.762167421747512e-06,,0.5192658577332971,,0
392Ic,8.105360862075376e-06,,0.608488147530666,,0
393Ic,3.493886105353586e-06,,0.7663265248542587,,0
395Ic,3.7040417937344774e-06,,0.6986417296343015,,0
394Ic,2.6784809804057786e-06,,0.9636117787486649,,0
397Ic,2.4981457439311745e-06,,0.9570710249467662,,0
398Ic,5.7219394931169495e-08,,0.07278319037774617,,0
399Ic,1.0170954786160029e-05,,0.6703113615242787,,0
400Ic+,1.5653473550023048e-06,,0.33004954830319855,,0
396Ic,3.7230972190576242e-06,,0.9678422164640076,,0
401Ic,1.060086209418427e-05,,0.6508894164551549,,0
400Ic-,1.1154381862254611e-05,,0.7602098251439828,,0
402Ic-,1.1134965076335526e-05,,0.7300199226718045,,0
403Ic,4.421963432654375e-06,,0.9571912306054956,,0
402Ic+,2.0427842447513222e-06,,0.4778949171973532,,0
405Ic+,1.8896925370158656e-06,,0.48018987942686275,,0
405Ic-,9.525239257851312e-06,,0.6374532484737638,,0
406Ic,3.848844996140748e-06,,0.954310135422836,,0
404Ic,1.064167305068758e-05,,0.6642679795500044,,0
407Ic,3.6236553986315197e-06,,0.94947870864211,,0
408Ic-,1.1224294123579436e-05,,0.6586325464161639,,0
409Ic,9.265521996597341e-06,,0.6483983230129156,,0
