dataid,success,I_c,phi_0,f,T,r,C,r_squared,adj_r_squared,rmse,mae,residual_mean,residual_std,error,skipped
152Ic,True,2.7820986307667824e-06,0.6494759937534595,318937.85687999823,7.641663274055512e-32,-0.0576611387910931,6.89258491681161e-05,0.25813734219110307,0.023864923935661864,3.3945566213153217e-06,2.621723413265601e-06,1.9209127451073999e-10,0.8613144941360833,,
153Ic,True,4.686092205407387e-06,1.8439737568257386,160648.99537226823,7.402230645427528e-18,-0.0696946095751714,7.693109379921035e-05,0.9471666108447133,0.9295554811262844,7.758624250984673e-07,6.064465466730935e-07,-1.6163113514267026e-10,0.221674978599562,,
154Ic,True,3.306227941490795e-06,1.379142935911588,160031.80629754157,9.408256541022234e-18,0.012740374451501028,0.00011778486174026288,0.9259654741224027,0.9158698569572759,6.68035018424031e-07,5.236765836403421e-07,-5.383042094863959e-10,0.2672140073696121,,
150Ic,True,3.892786066770348e-06,-2.7245096795720483,160616.49158145426,3.8552698738667924e-13,-0.061531067511068585,0.00010309165603773754,0.9068166923480059,0.9014407322911601,9.207405406772875e-07,7.1848620561034e-07,-5.959627426189908e-10,0.9207405406772871,,
155Ic,False,,,,,,,,,,,,,Insufficient data points (14 < 20),
157Ic,True,5.362240501931156e-05,-0.1596783974218521,55.961696748132105,6.923407805027342e-12,0.0031561941087501115,2.500000004634878e-06,0.5986704201007912,0.5278475530597544,2.2805451913142246e-05,1.8550803785074242e-05,-0.0006890985542410925,0.6335054104286651,,
158Ic,True,0.004629475348224943,0.002403206703878305,1250.1919361356217,1.1667511678140939e-43,0.011200463810592755,5e-07,0.49069573646536624,0.25563223021861226,3.159848525144542e-05,2.398329900656106e-05,-0.2983891562795534,10.528600969573553,,
156Ic,True,3.951013223147657e-06,0.5055204026778419,159198.39127576826,6.352906678346604e-20,0.005916290229355922,0.00011171538417312343,0.9482256753926338,0.9411655402189021,6.500039709320786e-07,5.053547369667431e-07,-7.355755220614543e-11,0.371430840532615,,
160Ic,False,,,,,,,,,,,,,Data quality insufficient: y_normalized: insufficient data variation (1 unique values) - skipping file,True
159Ic,True,3.618360059118258e-05,1.7979410454804912,81.12331764478652,6.180408504639961e-21,-0.0011855113414975208,4.255675726175673e-05,0.5638845497058504,0.4869229996539416,2.3229026402078248e-05,1.6512088854586365e-05,9.006753391885213e-09,7.743008800692748,,
161Ic,False,,,,,,,,,,,,,Insufficient data points (2 < 20),
163Ic,False,,,,,,,,,,,,,Data quality insufficient: y_normalized: insufficient data variation (1 unique values) - skipping file,True
164Ic,True,3.445171464100439e-06,-1.2489505609275444,158673.063496459,2.729586174121661e-21,0.04996365609193017,0.00010784349890370371,0.9345349496868149,0.9256078973713806,6.663593344731134e-07,5.734374901020153e-07,9.161002893095799e-11,0.2665437337892444,,
